#key	id	owner	owner_url	owner_type	repo_name	repo_url	repo_git_url	description	created	updated	website
|is-table-with-template
||use-template: for-repositories
AmadeusWebDawns/amadeus8	992716353	AmadeusWebDawns	https://github.com/AmadeusWebDawns	User	amadeus8	https://github.com/AmadeusWebDawns/amadeus8	git://github.com/AmadeusWebDawns/amadeus8.git	AmadeusWeb Dawn v8 -> A Web Builder leading the web4 revolution	2025-05-29T15:45:49Z	2025-08-23T05:59:41Z	http://dawn.amadeusweb.com/
AmadeusWebDawns/amore	1014389674	AmadeusWebDawns	https://github.com/AmadeusWebDawns	User	amore	https://github.com/AmadeusWebDawns/amore	git://github.com/AmadeusWebDawns/amore.git	AmadeusWeb.world - Unification Begins NOW, with US	2025-07-05T16:18:36Z	2025-08-14T17:49:14Z	http://amadeusweb.world/
AmadeusWebDawns/aspire-to-thrive	1024610945	AmadeusWebDawns	https://github.com/AmadeusWebDawns	User	aspire-to-thrive	https://github.com/AmadeusWebDawns/aspire-to-thrive	git://github.com/AmadeusWebDawns/aspire-to-thrive.git	wiseowls / for-learners	2025-07-23T01:42:00Z	2025-07-25T08:39:20Z	
AmadeusWebDawns/planet	1023278584	AmadeusWebDawns	https://github.com/AmadeusWebDawns	User	planet	https://github.com/AmadeusWebDawns/planet	git://github.com/AmadeusWebDawns/planet.git	The CP network with Remzi	2025-07-20T22:44:16Z	2025-08-07T23:34:41Z	https://common-planet.org/
AmadeusWebDawns/work	1014418454	AmadeusWebDawns	https://github.com/AmadeusWebDawns	User	work	https://github.com/AmadeusWebDawns/work	git://github.com/AmadeusWebDawns/work.git	Where we have our offerings to charities, individuals and the socially conscious	2025-07-05T17:26:44Z	2025-08-07T23:36:16Z	https://amadeusweb.com/
AmadeusWebAlliances/against-abuse	1043078628	AmadeusWebAlliances	https://github.com/AmadeusWebAlliances	Organization	against-abuse	https://github.com/AmadeusWebAlliances/against-abuse	git://github.com/AmadeusWebAlliances/against-abuse.git	at aww/aop	2025-08-23T05:12:22Z	2025-08-23T06:00:15Z	
AmadeusWebAlliances/aurospaces	1023693332	AmadeusWebAlliances	https://github.com/AmadeusWebAlliances	Organization	aurospaces	https://github.com/AmadeusWebAlliances/aurospaces	git://github.com/AmadeusWebAlliances/aurospaces.git		2025-07-21T14:46:23Z	2025-08-22T17:04:35Z	
AmadeusWebFriends/intrepid	955247091	AmadeusWebFriends	https://github.com/AmadeusWebFriends	Organization	intrepid	https://github.com/AmadeusWebFriends/intrepid	git://github.com/AmadeusWebFriends/intrepid.git	I-III / PsyRes demo site	2025-03-26T10:44:36Z	2025-08-22T17:06:28Z	https://intrepid.amadeusweb.site/home/
AmadeusWebFriends/vidyantara	1024981001	AmadeusWebFriends	https://github.com/AmadeusWebFriends	Organization	vidyantara	https://github.com/AmadeusWebFriends/vidyantara	git://github.com/AmadeusWebFriends/vidyantara.git	Site for Vidya's Village Retreat	2025-07-23T14:35:55Z	2025-08-22T17:06:43Z	https://vidyantara.amadeusweb.site/
AmadeusWebFriends/vishnuvasu	1037208902	AmadeusWebFriends	https://github.com/AmadeusWebFriends	Organization	vishnuvasu	https://github.com/AmadeusWebFriends/vishnuvasu	git://github.com/AmadeusWebFriends/vishnuvasu.git	vv.org	2025-08-13T08:21:25Z	2025-08-22T17:06:47Z	
ImranAliNamazi/imran	1030972558	ImranAliNamazi	https://github.com/ImranAliNamazi	Organization	imran	https://github.com/ImranAliNamazi/imran	git://github.com/ImranAliNamazi/imran.git	Imran's Personal Website (migrated from YM)	2025-08-02T18:19:20Z	2025-08-09T18:43:54Z	https://imran.wiseowls.life/
ImranAliNamazi/more	1031068901	ImranAliNamazi	https://github.com/ImranAliNamazi	Organization	more	https://github.com/ImranAliNamazi/more	git://github.com/ImranAliNamazi/more.git	the 12yr journey till 2025	2025-08-03T00:02:48Z	2025-08-12T00:05:14Z	
